Область,Рік,Середній бал з математики
м.Київ,2019,147.32657779147723
Львівська область,2019,143.2424865729631
Волинська область,2019,141.38720634022079
Тернопільська область,2019,140.91506095163194
Харківська область,2019,140.89336993243242
Рівненська область,2019,140.46378792019678
Черкаська область,2019,140.25398736081854
Сумська область,2019,139.98121798520205
Івано-Франківська область,2019,139.87195467422097
Чернігівська область,2019,139.13200379867047
Хмельницька область,2019,138.78449855983243
Київська область,2019,138.57565460723566
Закарпатська область,2019,137.99186361875243
Дніпропетровська область,2019,137.85132519983173
Полтавська область,2019,137.71153846153845
Донецька область,2019,137.54257362355955
Запорізька область,2019,137.39580209895053
Одеська область,2019,136.62746745065098
Чернівецька область,2019,136.431906614786
Херсонська область,2019,136.28445078459345
Житомирська область,2019,136.12833845426613
Вінницька область,2019,135.44335414808208
Миколаївська область,2019,135.21892613467813
Луганська область,2019,134.98993595608417
Кіровоградська область,2019,134.44638403990024
м.Київ,2020,145.94120120541032
Львівська область,2020,142.5602997023504
Харківська область,2020,139.62210589893294
Волинська область,2020,139.45594594594596
Рівненська область,2020,139.10444826738757
Івано-Франківська область,2020,138.7399730820996
Тернопільська область,2020,138.36275167785234
Чернігівська область,2020,138.2036428784712
Сумська область,2020,138.11626666666666
Черкаська область,2020,137.8766304347826
Дніпропетровська область,2020,137.7962635698056
Київська область,2020,137.53491249779034
Хмельницька область,2020,137.3098301595471
Полтавська область,2020,136.91701797204348
Чернівецька область,2020,136.81336053034167
Донецька область,2020,136.32007416146973
Запорізька область,2020,136.07462141944902
Закарпатська область,2020,135.77638572513288
Одеська область,2020,135.617905510183
Вінницька область,2020,135.57070340826687
Житомирська область,2020,135.48845798707293
Херсонська область,2020,135.2657018813314
Кіровоградська область,2020,134.82446615997105
Луганська область,2020,134.38359788359787
Миколаївська область,2020,134.0622914349277
